Model,BERT Score,Hallucination Score
Answer by Chatgpt,0.811653196811676,0.571275224409725
Answer By Deepseek,0.8459299206733704,0.5491083248779742
Answer by RAG,1.0,-2.220446049250313e-15
Answer by Gemini,0.8339459300041199,0.28341798169977794
Answer by Chatgpt,0.836527407169342,0.30155224105252465
Answer By Deepseek,0.8406352400779724,0.4402742067226775
Answer by RAG,1.0,5.551115123125783e-16
Answer by Gemini,0.8230406641960144,0.2824948377664718
Answer by Chatgpt,0.8177258372306824,0.34899383450978794
Answer By Deepseek,0.8412862420082092,0.4478338740655705
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
Answer by RAG,0.0,1.0
Answer by Gemini,0.0,1.0
Answer by Chatgpt,0.0,1.0
Answer By Deepseek,0.0,1.0
